card1,card2,suited,success,try,successRate
14,14,0,512610,607397,0.843945558
13,13,0,456124,556231,0.820026212
12,12,0,485261,604193,0.803155614
11,11,0,518490,659113,0.786648116
10,10,0,555254,722238,0.768796436
9,9,0,593347,791503,0.749645927
8,8,0,634178,871510,0.72767725
7,7,0,677927,961947,0.704744648
6,6,0,722905,1064133,0.679337075
5,5,0,764929,1180161,0.64815648
14,13,1,242713,383776,0.632434024
14,12,1,253848,401504,0.632242767
14,11,1,263801,419071,0.629489991
14,10,1,273533,437434,0.625312619
14,9,1,281037,455969,0.616351112
14,8,1,294329,478300,0.615364834
14,13,0,709419,1157767,0.612747643
14,7,1,306981,501127,0.612581242
14,5,1,338775,554038,0.611465279
14,12,0,735627,1205634,0.610157809
4,4,0,799078,1310778,0.609621156
14,11,0,762929,1256168,0.60734631
14,10,0,794207,1311254,0.605685092
14,6,1,318025,525721,0.604931133
14,4,1,350499,583666,0.600512965
13,12,1,229739,382843,0.60008672
13,11,1,238016,398063,0.597935503
14,9,0,818627,1371847,0.596733455
13,10,1,247351,415577,0.595198964
14,8,0,852723,1436680,0.593537183
14,7,0,886461,1503458,0.589614741
14,5,0,976819,1661261,0.587998514
13,9,1,255803,436386,0.586185166
14,6,0,918513,1577976,0.582082997
14,3,1,358409,616624,0.581244
12,11,1,241071,415252,0.580541454
13,8,1,263466,455657,0.578211242
13,7,1,276136,477667,0.578093107
12,10,1,249973,432505,0.577965573
14,4,0,1011281,1750482,0.577715738
13,12,0,660825,1144938,0.577170991
13,11,0,687709,1195681,0.575160933
13,10,0,713610,1247023,0.572250873
13,6,1,287691,503166,0.571761606
12,9,1,258249,453354,0.569640943
13,5,1,300481,529336,0.56765646
14,2,1,300665,531572,0.565614818
13,9,0,733898,1303261,0.563124347
12,8,1,266939,474838,0.562168571
11,10,1,253122,450696,0.561624687
14,3,0,1030325,1847642,0.557643201
13,4,1,311031,558094,0.557309342
12,11,0,692443,1244384,0.556454439
11,9,1,261402,470635,0.555424055
12,10,0,720787,1299191,0.554796793
13,8,0,758311,1367156,0.554663111
3,3,0,808119,1459504,0.553694269
13,7,0,791946,1432239,0.55294263
12,7,1,273439,495986,0.551303867
12,6,1,286278,521311,0.549150123
13,6,0,825080,1504210,0.548513838
11,8,1,270865,494579,0.547667814
10,9,1,268838,493586,0.544662936
12,9,0,736999,1353908,0.544349394
12,5,1,299020,549858,0.54381313
13,5,0,858060,1581044,0.542717344
14,2,0,850951,1576645,0.539722639
11,10,0,729869,1353469,0.53925801
11,7,1,279013,518347,0.538274554
13,3,1,315469,588330,0.53621097
12,8,0,762671,1422815,0.536029631
12,4,1,310001,578946,0.535457538
10,8,1,276209,516104,0.535180894
13,4,0,889164,1670833,0.532168086
11,9,0,749098,1414467,0.529597368
9,8,1,283766,538051,0.527396102
11,6,1,285675,542478,0.526611217
12,7,0,783019,1488646,0.525994091
10,7,1,284169,540782,0.525477919
12,6,0,818945,1561283,0.524533349
11,5,1,298472,570595,0.523089056
11,8,0,771310,1479524,0.521323074
10,9,0,764740,1475096,0.518434054
13,2,1,259229,500611,0.517825218
12,5,0,849660,1641638,0.517568429
9,7,1,290443,562042,0.516763872
10,6,1,291535,566746,0.514401513
11,4,1,308815,601146,0.51371048
8,7,1,301151,587647,0.51246922
11,7,0,791908,1550688,0.51068171
12,3,1,312522,612067,0.510600964
10,8,0,786115,1541574,0.509943084
13,3,0,896313,1763200,0.508344487
12,4,0,880788,1733554,0.50808224
9,6,1,299141,590867,0.506274678
8,6,1,309093,615708,0.502012318
9,8,0,803700,1606864,0.500166784
2,2,0,567616,1135682,0.499801881
10,5,1,296895,594964,0.499013386
11,6,0,811342,1625917,0.499005792
7,6,1,321904,645331,0.498819985
10,7,0,805330,1615468,0.498511886
11,5,0,848000,1710725,0.495696269
10,4,1,309580,626293,0.494305381
12,2,1,257952,522699,0.493500083
9,5,1,305120,620399,0.491812527
9,7,0,826883,1685963,0.490451451
11,3,1,311466,637294,0.488732045
8,5,1,316761,649183,0.487937916
13,2,0,731873,1500671,0.48769717
10,6,0,827271,1696421,0.487656661
8,7,0,857865,1761967,0.486879153
11,4,0,874693,1801900,0.485428159
7,5,1,328079,677604,0.484175123
6,5,1,342729,708497,0.483740933
12,3,0,884050,1834233,0.481972574
9,6,0,845757,1769931,0.477847442
8,6,0,876677,1849175,0.474090878
10,5,0,841125,1782951,0.47176002
11,2,1,257670,546241,0.471714866
9,4,1,308707,655079,0.471251559
7,6,0,908127,1932209,0.469994188
8,4,1,320629,683825,0.468875809
10,3,1,310567,663243,0.468255225
10,4,0,875097,1875728,0.466537259
6,4,1,348925,748460,0.466190578
5,4,1,366402,786512,0.465856846
7,4,1,331413,715199,0.463385715
12,2,0,726391,1568473,0.463119862
9,5,0,860976,1860234,0.462832095
8,5,0,889281,1938828,0.458669361
11,3,0,872999,1904098,0.45848428
6,5,0,965099,2122823,0.45462999
7,5,0,921250,2029079,0.454023722
9,3,1,312490,691433,0.451945452
10,2,1,258576,572541,0.451628792
9,4,0,866797,1959123,0.442441337
11,2,0,719216,1636682,0.439435394
8,4,0,896613,2044480,0.43855308
10,3,0,868300,1987024,0.43698516
5,4,0,1024635,2350738,0.435878009
7,4,0,930018,2137197,0.435157826
6,4,0,972026,2234959,0.43491894
5,3,1,360727,830993,0.434091503
9,2,1,259134,598841,0.432725882
6,3,1,341188,791621,0.430999178
8,3,1,309454,722277,0.428442274
7,3,1,323452,755927,0.427887878
4,3,1,369258,876185,0.421438395
9,3,0,865685,2066425,0.418928826
10,2,0,715878,1714016,0.417661212
8,2,1,261776,627516,0.417162272
5,2,1,294556,728596,0.404278915
6,2,1,277382,691722,0.401002137
5,3,0,992761,2480043,0.400299914
9,2,0,716051,1795023,0.398909095
6,3,0,940507,2366790,0.397376616
7,2,1,261904,660563,0.396486028
8,3,0,851727,2159530,0.394403875
4,2,1,304586,773018,0.394021873
7,3,0,889521,2259939,0.393603987
4,3,0,1011961,2613284,0.387237285
8,2,0,719912,1878261,0.383286455
5,2,0,804917,2182335,0.368832924
3,2,1,299703,819176,0.365859107
6,2,0,756655,2075774,0.364517043
7,2,0,708702,1975024,0.358832095
4,2,0,825761,2310307,0.357424792
3,2,0,804013,2453674,0.327677189
